S.no,WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
18022,0.05,1,34,23,0.44,102,,,
18023,0.05,1,34,28,0.44,102,,,
18024,0.05,1,34,34,0.44,102,,,
18025,0.05,1,34,39,0.44,102,,,
18026,0.05,1,34,45,0.44,102,,,
18027,0.05,1,34,2,0.2,102,,,
18028,0.05,1,34,7,0.2,102,,,
18029,0.05,1,34,12,0.2,102,,,
18030,0.05,1,34,18,0.2,102,,,
18031,0.05,1,34,23,0.2,102,,,
18032,0.05,1,34,28,0.2,102,,,
18033,0.05,1,34,34,0.2,102,,,
18034,0.05,1,34,39,0.2,102,,,
18035,0.05,1,34,45,0.2,102,,,
18052,0.05,1,34,39,0.68,102,,,
18053,0.05,1,34,45,0.68,102,,,
18060,0.05,1,34,34,0.65,102,,,
18061,0.05,1,34,39,0.65,102,,,
18062,0.05,1,34,45,0.65,102,,,
18063,0.05,1,34,2,0.26,102,,,
18064,0.05,1,34,7,0.26,102,,,
18065,0.05,1,34,12,0.26,102,,,
18066,0.05,1,34,18,0.26,102,,,
18067,0.05,1,34,23,0.26,102,,,
18068,0.05,1,34,28,0.26,102,,,
18069,0.05,1,34,34,0.26,102,,,
18070,0.05,1,34,39,0.26,102,,,
18071,0.05,1,34,45,0.26,102,,,
18078,0.05,1,34,34,0.68,102,,,
18079,0.05,1,34,39,0.68,102,,,
18080,0.05,1,34,45,0.68,102,,,
18083,0.05,1,34,12,0.42,102,,,
18084,0.05,1,34,18,0.42,102,,,
18085,0.05,1,34,23,0.42,102,,,
18086,0.05,1,34,28,0.42,102,,,
18087,0.05,1,34,34,0.42,102,,,
18088,0.05,1,34,39,0.42,102,,,
18089,0.05,1,34,45,0.42,102,,,
18106,0.05,1,34,39,0.61,102,,,
18107,0.05,1,34,45,0.61,102,,,
18117,0.05,1,34,2,0.24,102,,,
18118,0.05,1,34,7,0.24,102,,,
18119,0.05,1,34,12,0.24,102,,,
18120,0.05,1,34,18,0.24,102,,,
18121,0.05,1,34,23,0.24,102,,,
18122,0.05,1,34,28,0.24,102,,,
18123,0.05,1,34,34,0.24,102,,,
18124,0.05,1,34,39,0.24,102,,,
18125,0.05,1,34,45,0.24,102,,,
18152,0.05,1,34,45,0.73,102,,,
18157,0.05,1,34,23,0.56,102,,,
18158,0.05,1,34,28,0.56,102,,,
18159,0.05,1,34,34,0.56,102,,,
18160,0.05,1,34,39,0.56,102,,,
18161,0.05,1,34,45,0.56,102,,,
18167,0.05,1,34,28,0.59,102,,,
18168,0.05,1,34,34,0.59,102,,,
18169,0.05,1,34,39,0.59,102,,,
18170,0.05,1,34,45,0.59,102,,,
18171,0.05,1,34,2,0.26,102,,,
18172,0.05,1,34,7,0.26,102,,,
18173,0.05,1,34,12,0.26,102,,,
18174,0.05,1,34,18,0.26,102,,,
18175,0.05,1,34,23,0.26,102,,,
18176,0.05,1,34,28,0.26,102,,,
18177,0.05,1,34,34,0.26,102,,,
18178,0.05,1,34,39,0.26,102,,,
18179,0.05,1,34,45,0.26,102,,,
18182,0.05,2,34,12,0.37,102,,,
18183,0.05,2,34,18,0.37,102,,,
18184,0.05,2,34,23,0.37,102,,,
18185,0.05,2,34,28,0.37,102,,,
18186,0.05,2,34,34,0.37,102,,,
18187,0.05,2,34,39,0.37,102,,,
18188,0.05,2,34,45,0.37,102,,,
18202,0.05,2,34,23,0.44,102,,,
18203,0.05,2,34,28,0.44,102,,,
18204,0.05,2,34,34,0.44,102,,,
18205,0.05,2,34,39,0.44,102,,,
18206,0.05,2,34,45,0.44,102,,,
18207,0.05,2,34,2,0.2,102,,,
18208,0.05,2,34,7,0.2,102,,,
18209,0.05,2,34,12,0.2,102,,,
18210,0.05,2,34,18,0.2,102,,,
18211,0.05,2,34,23,0.2,102,,,
18212,0.05,2,34,28,0.2,102,,,
18213,0.05,2,34,34,0.2,102,,,
18214,0.05,2,34,39,0.2,102,,,
18215,0.05,2,34,45,0.2,102,,,
18242,0.05,2,34,45,0.65,102,,,
18243,0.05,2,34,2,0.26,102,,,
18244,0.05,2,34,7,0.26,102,,,
18245,0.05,2,34,12,0.26,102,,,
18246,0.05,2,34,18,0.26,102,,,
18247,0.05,2,34,23,0.26,102,,,
18248,0.05,2,34,28,0.26,102,,,
18249,0.05,2,34,34,0.26,102,,,
18250,0.05,2,34,39,0.26,102,,,
18251,0.05,2,34,45,0.26,102,,,
18267,0.05,2,34,34,0.42,102,,,
18268,0.05,2,34,39,0.42,102,,,
18269,0.05,2,34,45,0.42,102,,,
18297,0.05,2,34,2,0.24,102,,,
18298,0.05,2,34,7,0.24,102,,,
18299,0.05,2,34,12,0.24,102,,,
18300,0.05,2,34,18,0.24,102,,,
18301,0.05,2,34,23,0.24,102,,,
18302,0.05,2,34,28,0.24,102,,,
18303,0.05,2,34,34,0.24,102,,,
18304,0.05,2,34,39,0.24,102,,,
18305,0.05,2,34,45,0.24,102,,,
18339,0.05,2,34,34,0.56,102,,,
18340,0.05,2,34,39,0.56,102,,,
18341,0.05,2,34,45,0.56,102,,,
18349,0.05,2,34,39,0.59,102,,,
18350,0.05,2,34,45,0.59,102,,,
18351,0.05,2,34,2,0.26,102,,,
18352,0.05,2,34,7,0.26,102,,,
18353,0.05,2,34,12,0.26,102,,,
18354,0.05,2,34,18,0.26,102,,,
18355,0.05,2,34,23,0.26,102,,,
18356,0.05,2,34,28,0.26,102,,,
18357,0.05,2,34,34,0.26,102,,,
18358,0.05,2,34,39,0.26,102,,,
18359,0.05,2,34,45,0.26,102,,,
18368,0.05,3,34,45,0.37,102,,,
18390,0.05,3,34,18,0.2,102,,,
